咪咕央卫,#genre#
男篮世预赛 加拿大VS阿根廷 全场回放（邢晨） 07:00,http://45.192.97.170:8880/play/96.m3u8
男篮世预赛 加拿大VS阿根廷 全场回放（赛场原声） 07:00,http://45.192.97.170:8880/play/97.m3u8
男篮世预赛 巴哈马VS巴拿马 全场回放（殷文玉） 08:00,http://45.192.97.170:8880/play/98.m3u8
男篮世预赛 巴哈马VS巴拿马 全场回放（赛场原声） 08:00,http://45.192.97.170:8880/play/99.m3u8
男篮世预赛 多米尼加VS智利 全场回放（赛场原声） 08:00,http://45.192.97.170:8880/play/100.m3u8
男篮世预赛 墨西哥VS巴西 全场回放（赛场原声） 10:00,http://45.192.97.170:8880/play/101.m3u8
JCK JCK战觉城王者系列016：赛前新闻发布会 JCK战觉城王者系列第016期赛前新闻发布会全场回放（赛场原声） 16:00,http://45.192.97.170:8880/play/102.m3u8
JCK JCK战觉城王者系列016：赛前新闻发布会 拳力以赴，共铸辉煌！中国MMA领军者JCK与咪咕携手打造观赛新主场 16:00,http://45.192.97.170:8880/play/103.m3u8
中国篮协“未来杯”国际篮球挑战赛 清华附中VSCIA Bella Vista预科学院 全场回放（现场解说） 16:20,http://45.192.97.170:8880/play/104.m3u8
中国篮协“未来杯”国际篮球挑战赛 清华附中VSCIA Bella Vista预科学院 全场回放（赛场原声） 16:20,http://45.192.97.170:8880/play/105.m3u8
斯诺克 巩晨智2-4贺国强 【回放】巩晨智2-4贺国强（赛场原声） 17:00,http://45.192.97.170:8880/play/106.m3u8
斯诺克 巩晨智2-4贺国强 【回放】杰克逊·佩奇4-1吉米·罗伯逊（赛场原声） 17:00,http://45.192.97.170:8880/play/107.m3u8
斯诺克 巩晨智2-4贺国强 【回放】杰克·琼斯4-0安东尼·麦克吉尔（赛场原声） 17:00,http://45.192.97.170:8880/play/108.m3u8
斯诺克 巩晨智2-4贺国强 【回放】马克·乔伊斯4-0乔丹·布朗（赛场原声） 17:00,http://45.192.97.170:8880/play/109.m3u8
NBA经典赛事 NBA精彩重播：掘金vs勇士 全场回放（连睿、周鹏） 18:00,http://45.192.97.170:8880/play/110.m3u8
CPB中国棒球城市联赛 长沙旺旺2-11福州海侠 【全场回放】长沙旺旺2-11福州海侠（官方解说） 18:00,http://45.192.97.170:8880/play/111.m3u8
CPB中国棒球城市联赛 北京正大龙4-2厦门海豚 【全场回放】北京正大龙4-2厦门海豚（官方解说） 18:30,http://45.192.97.170:8880/play/112.m3u8
WTT 维瓦雷利开门红 肯日古洛夫横扫 全场回放（赵曦、刘馨蕊） 19:00,http://45.192.97.170:8880/play/113.m3u8
WTT 维瓦雷利开门红 肯日古洛夫横扫 全场回放（一号桌） 19:00,http://45.192.97.170:8880/play/114.m3u8
WTT 维瓦雷利开门红 肯日古洛夫横扫 全场回放（二号桌） 19:00,http://45.192.97.170:8880/play/115.m3u8
WTT 维瓦雷利开门红 肯日古洛夫横扫 全场回放（三号桌） 19:00,http://45.192.97.170:8880/play/116.m3u8
WTT 维瓦雷利开门红 肯日古洛夫横扫 全场回放（四号桌） 19:00,http://45.192.97.170:8880/play/117.m3u8
中国篮协“未来杯”国际篮球挑战赛 中国U18男篮VSVERITAS Academy预科学院 全场回放 19:20,http://45.192.97.170:8880/play/118.m3u8
中国篮协“未来杯”国际篮球挑战赛 中国U18男篮VSVERITAS Academy预科学院 全场回放 19:20,http://45.192.97.170:8880/play/119.m3u8
足协杯 山东泰山VS上海海港 全场回放（石庆圣、刘越、邵凌霄） 19:30,http://45.192.97.170:8880/play/120.m3u8
足协杯 山东泰山VS上海海港 全场回放（AI智慧观赛） 19:30,http://45.192.97.170:8880/play/121.m3u8
足协杯 山东泰山VS上海海港 全场回放（智能解说） 19:30,http://45.192.97.170:8880/play/122.m3u8
足协杯 大连英博海发VS上海申花 全场回放（娄一晨、李彦、魏欣怡） 19:30,http://45.192.97.170:8880/play/123.m3u8
足协杯 大连英博海发VS上海申花 全场回放（AI智慧观赛） 19:30,http://45.192.97.170:8880/play/124.m3u8
足协杯 大连英博海发VS上海申花 全场回放（智能解说） 19:30,http://45.192.97.170:8880/play/125.m3u8
足协杯 北京国安VS兰州陇原竞技 全场回放（张昊泽） 19:20,http://45.192.97.170:8880/play/126.m3u8
斯诺克 张安达险胜晋级 吴宜泽1-4囧哥 【回放】奥利弗·莱恩斯1-4赵心童（柏林） 20:00,http://45.192.97.170:8880/play/127.m3u8
