央视频道,#genre#
CCTV1,http://45.192.97.170:8880/play/1.m3u8
CCTV2,http://45.192.97.170:8880/play/2.m3u8
CCTV3,http://45.192.97.170:8880/play/3.m3u8
CCTV4,http://45.192.97.170:8880/play/4.m3u8
CCTV5,http://45.192.97.170:8880/play/5.m3u8
CCTV5+,http://45.192.97.170:8880/play/6.m3u8
CCTV6,http://45.192.97.170:8880/play/7.m3u8
CCTV7,http://45.192.97.170:8880/play/8.m3u8
CCTV8,http://45.192.97.170:8880/play/9.m3u8
CCTV9,http://45.192.97.170:8880/play/10.m3u8
CCTV10,http://45.192.97.170:8880/play/11.m3u8
CCTV11,http://45.192.97.170:8880/play/12.m3u8
CCTV12,http://45.192.97.170:8880/play/13.m3u8
CCTV13,http://45.192.97.170:8880/play/14.m3u8
CCTV14,http://45.192.97.170:8880/play/15.m3u8
CCTV15,http://45.192.97.170:8880/play/16.m3u8
CCTV17,http://45.192.97.170:8880/play/17.m3u8
CCTV4欧洲,http://45.192.97.170:8880/play/18.m3u8
CCTV4美洲,http://45.192.97.170:8880/play/19.m3u8
赛事最经典,http://45.192.97.170:8880/play/20.m3u8
体坛名栏汇,http://45.192.97.170:8880/play/21.m3u8
四海钓鱼,http://45.192.97.170:8880/play/22.m3u8
大湾区卫视,http://45.192.97.170:8880/play/23.m3u8
陕西体育,http://45.192.97.170:8880/play/24.m3u8
辽宁体育,http://45.192.97.170:8880/play/25.m3u8
东方卫视,http://45.192.97.170:8880/play/26.m3u8
江苏卫视,http://45.192.97.170:8880/play/27.m3u8
广东卫视,http://45.192.97.170:8880/play/28.m3u8
北京卫视,http://45.192.97.170:8880/play/29.m3u8
辽宁卫视,http://45.192.97.170:8880/play/30.m3u8
河北卫视,http://45.192.97.170:8880/play/31.m3u8
江西卫视,http://45.192.97.170:8880/play/32.m3u8
陕西卫视,http://45.192.97.170:8880/play/33.m3u8
湖北卫视,http://45.192.97.170:8880/play/34.m3u8
农林卫视,http://45.192.97.170:8880/play/35.m3u8
兵团卫视,http://45.192.97.170:8880/play/36.m3u8
上海新闻综合,http://45.192.97.170:8880/play/37.m3u8
上视东方影视,http://45.192.97.170:8880/play/38.m3u8
公共新闻频道,http://45.192.97.170:8880/play/39.m3u8
盐城新闻综合,http://45.192.97.170:8880/play/40.m3u8
江阴新闻综合,http://45.192.97.170:8880/play/41.m3u8
南通新闻综合,http://45.192.97.170:8880/play/42.m3u8
宜兴新闻综合,http://45.192.97.170:8880/play/43.m3u8
溧水新闻综合,http://45.192.97.170:8880/play/44.m3u8
陕西银龄频道,http://45.192.97.170:8880/play/45.m3u8
陕西都市青春频道,http://45.192.97.170:8880/play/46.m3u8
陕西秦腔频道,http://45.192.97.170:8880/play/47.m3u8
陕西新闻资讯频道,http://45.192.97.170:8880/play/48.m3u8
财富天下,http://45.192.97.170:8880/play/49.m3u8
辽宁公共频道,http://45.192.97.170:8880/play/50.m3u8
辽宁生活频道,http://45.192.97.170:8880/play/51.m3u8
辽宁影视剧频道,http://45.192.97.170:8880/play/52.m3u8
宁夏文旅频道,http://45.192.97.170:8880/play/53.m3u8
宁夏经济频道,http://45.192.97.170:8880/play/54.m3u8
经典香港电影,http://45.192.97.170:8880/play/55.m3u8
抗战经典影片,http://45.192.97.170:8880/play/56.m3u8
新片放映厅,http://45.192.97.170:8880/play/57.m3u8
CHC影迷电影,http://45.192.97.170:8880/play/58.m3u8
CHC动作电影,http://45.192.97.170:8880/play/59.m3u8
CHC家庭影院,http://45.192.97.170:8880/play/60.m3u8
和美乡途轮播台,http://45.192.97.170:8880/play/61.m3u8
最强综艺趴,http://45.192.97.170:8880/play/62.m3u8


咪咕线路,#genre#
CCTV1,http://45.192.97.170:8880/play/399.m3u8
CCTV2,http://45.192.97.170:8880/play/400.m3u8
CCTV3,http://45.192.97.170:8880/play/401.m3u8
CCTV4,http://45.192.97.170:8880/play/402.m3u8
CCTV5,http://45.192.97.170:8880/play/403.m3u8
CCTV5+,http://45.192.97.170:8880/play/404.m3u8
CCTV6,http://45.192.97.170:8880/play/405.m3u8
CCTV7,http://45.192.97.170:8880/play/406.m3u8
CCTV8,http://45.192.97.170:8880/play/407.m3u8
CCTV9,http://45.192.97.170:8880/play/408.m3u8
CCTV10,http://45.192.97.170:8880/play/409.m3u8
CCTV11,http://45.192.97.170:8880/play/410.m3u8
CCTV12,http://45.192.97.170:8880/play/411.m3u8
CCTV13,http://45.192.97.170:8880/play/412.m3u8
CCTV14,http://45.192.97.170:8880/play/413.m3u8
CCTV15,http://45.192.97.170:8880/play/414.m3u8
CCTV16,http://45.192.97.170:8880/play/415.m3u8
CCTV17,http://45.192.97.170:8880/play/416.m3u8
浙江卫视4K,http://45.192.97.170:8880/play/417.m3u8
广东卫视,http://45.192.97.170:8880/play/418.m3u8
江苏卫视4K,http://45.192.97.170:8880/play/419.m3u8
东方卫视,http://45.192.97.170:8880/play/420.m3u8
湖北卫视,http://45.192.97.170:8880/play/421.m3u8
吉林卫视,http://45.192.97.170:8880/play/422.m3u8
河南卫视,http://45.192.97.170:8880/play/423.m3u8
东南卫视,http://45.192.97.170:8880/play/424.m3u8
海南卫视,http://45.192.97.170:8880/play/425.m3u8
湖南卫视4K,http://45.192.97.170:8880/play/426.m3u8
北京卫视,http://45.192.97.170:8880/play/427.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/428.m3u8
吉林卫视,http://45.192.97.170:8880/play/429.m3u8
辽宁卫视,http://45.192.97.170:8880/play/430.m3u8
内蒙古卫视,http://45.192.97.170:8880/play/431.m3u8
甘肃卫视,http://45.192.97.170:8880/play/432.m3u8
山西卫视,http://45.192.97.170:8880/play/433.m3u8
山东卫视,http://45.192.97.170:8880/play/434.m3u8
安徽卫视,http://45.192.97.170:8880/play/435.m3u8
深圳卫视,http://45.192.97.170:8880/play/436.m3u8
广西卫视,http://45.192.97.170:8880/play/437.m3u8
云南卫视,http://45.192.97.170:8880/play/438.m3u8
贵州卫视,http://45.192.97.170:8880/play/439.m3u8
四川卫视,http://45.192.97.170:8880/play/440.m3u8
体育频道,#genre#
五星体育,http://45.192.97.170:8880/play/441.m3u8
五星体育,http://45.192.97.170:8880/play/442.m3u8
抖音直播,#genre#
香香音乐,http://45.192.97.170:8880/play/443.m3u8
阿芯（好听DJ音乐,http://45.192.97.170:8880/play/444.m3u8
经典老歌,http://45.192.97.170:8880/play/445.m3u8
黄师傅学粤语歌,http://45.192.97.170:8880/play/446.m3u8
我是薇薇,http://45.192.97.170:8880/play/447.m3u8
CCTV13,http://45.192.97.170:8880/play/448.m3u8
4K超高清,#genre#
深圳卫视4K,http://45.192.97.170:8880/play/449.m3u8
湖南卫视4K,http://45.192.97.170:8880/play/450.m3u8
浙江卫视4K,http://45.192.97.170:8880/play/451.m3u8
江苏卫视4K,http://45.192.97.170:8880/play/452.m3u8
东方卫视4K,http://45.192.97.170:8880/play/453.m3u8
苏州4K,http://45.192.97.170:8880/play/454.m3u8
河北4K,http://45.192.97.170:8880/play/455.m3u8


全网通频,#genre#
CCTV1,http://45.192.97.170:8880/play/512.m3u8
CCTV2,http://45.192.97.170:8880/play/513.m3u8
CCTV3,http://45.192.97.170:8880/play/514.m3u8
CCTV4,http://45.192.97.170:8880/play/515.m3u8
CCTV5,http://45.192.97.170:8880/play/516.m3u8
CCTV5+,http://45.192.97.170:8880/play/517.m3u8
CCTV6,http://45.192.97.170:8880/play/518.m3u8
CCTV7,http://45.192.97.170:8880/play/519.m3u8
CCTV8,http://45.192.97.170:8880/play/520.m3u8
CCTV9,http://45.192.97.170:8880/play/521.m3u8
CCTV10,http://45.192.97.170:8880/play/522.m3u8
CCTV11,http://45.192.97.170:8880/play/523.m3u8
CCTV12,http://45.192.97.170:8880/play/524.m3u8
CCTV13,http://45.192.97.170:8880/play/525.m3u8
CCTV14,http://45.192.97.170:8880/play/526.m3u8
CCTV15,http://45.192.97.170:8880/play/527.m3u8
CCTV16,http://45.192.97.170:8880/play/528.m3u8
CCTV17,http://45.192.97.170:8880/play/529.m3u8
北京卫视,http://45.192.97.170:8880/play/530.m3u8
东方卫视,http://45.192.97.170:8880/play/531.m3u8
浙江卫视,http://45.192.97.170:8880/play/532.m3u8
江苏卫视,http://45.192.97.170:8880/play/533.m3u8
湖南卫视,http://45.192.97.170:8880/play/534.m3u8
广东卫视,http://45.192.97.170:8880/play/535.m3u8
